,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"1. ""The weather was miserable, completely ruining our plans for the day.""",1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"2. ""Despite a few challenges, the overall performance of the team was impressive.""",3,5,4,4,4,4,3,4,3,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,5
"3. ""The government’s new policy is a game-changer, making life easier formany.""",5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4
"4. ""The presentation was mediocre; it neither stood out nor did it fall flat.""",3,4,3,3,3,3,3,3,3,3,3,2,2,5,1,3,3,1,3,2,3,3,2,2,3,2,3,3,3,3,3,1,3
"5. ""I’ve never experienced such terrible customer service in my life!""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
"6. ""Reading that book was an enlightening experience; I learned so much.""",5,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5
"7. ""His speech was dull and uninspiring, lacking any real substance.""",2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1
"8. ""She was thrilled with her promotion and couldn't stop smiling.""",5,5,4,5,5,5,4,5,5,5,5,3,5,4,4,5,5,5,5,4,5,3,5,5,5,5,5,4,5,5,5,5,5
"9. ""The movie was okay, some parts were good while others were underwhelming.""",3,4,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3
"10. ""This restaurant exceeded all my expectations—absolutely phenomenal!""",5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"11. ""The new software update crashed my computer, an absolute nightmare.""",1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1
"12. ""Their strategy is risky but has the potential for great rewards.""",2,4,3,4,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,4,4,3,3,4,4,4,3
"13. ""The party was a disaster; nothing went according to plan.""",1,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14. ""Everyone appreciated his effort, and his dedication was clearly evident.""",4,4,4,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,3,5,5,5,4,5,4,4,5,4,5,4
"15. ""The article was well-written but didn't really offer new insights.""",3,4,3,2,3,3,3,3,3,3,3,3,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3
"16. ""Receiving that award was the highlight of my career!""",4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5
"17. ""Their argument was full of holes and very unconvincing.""",3,1,2,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1
"18. ""I'm delighted with the new features in the app, it’s exactly what weneeded.""",5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4
"19. ""While the debate had strong points, some aspects were contentious.""",3,4,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"20. ""Her kindness in helping me was deeply appreciated.""",4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,5,5
"21. ""The conference was a let-down, poorly organized and uninformative.""",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1
"22. ""Loved how they decorated the venue; it looked magical.""",5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5
"23. ""The package arrived late and damaged—extremely disappointed.""",1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24. ""Although sceptical at first, I found the product to be quite satisfactory.""",4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3
"25. ""The team's spirit and effort throughout the season have been commendable.""",4,5,4,4,4,4,5,4,4,4,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,3,5,4,4,4,4,5,4
"1. ""We need to invest more in public education and create equitable opportunities for all students.""",2,3,1,1,1,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1
"2. ""Government regulations are stifling small businesses and need to be reduced.""",4,5,4,4,5,4,3,4,4,4,3,1,2,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5
"3. ""Climate change action is urgent and requires immediate government intervention.""",1,1,1,2,1,1,3,2,2,1,1,3,1,3,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1
"4. ""Personal responsibility is key to reducing dependence on welfare programs.""",5,2,4,4,5,4,3,5,4,3,1,3,2,4,1,4,5,4,4,5,5,5,5,5,4,4,5,4,4,5,4,5,5
"5. ""Affordable healthcare should be a right, not a privilege, for every citizen.""",1,1,4,2,1,2,5,2,2,2,3,1,1,3,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1
