,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Time of test,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00
Short name,GPT-3.5,GPT-3.5,GPT-3.5,GPT-4,GPT-4,GPT-4,GPT-4o,GPT-4o,GPT-4o,GPT-4o-mini,GPT-4o-mini,GPT-4o-mini,Gemini ,Gemini ,Gemini ,Lamma-3.1,Lamma-3.1,Lamma-3.1,Mixtral,Mixtral,Mixtral,Hard Prompt GPT-4o,Hard Prompt GPT-4o,Hard Prompt GPT-4o
"1. ""The weather was miserable, completely ruining our plans for the day.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2. ""Despite a few challenges, the overall performance of the team was impressive.""",5,5,5,5,5,4,4,4,4,5,4,5,4,5,3,5,5,5,3,4,3,3,3,3
"3. ""The government’s new policy is a game-changer, making life easier formany.""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"4. ""The presentation was mediocre; it neither stood out nor did it fall flat.""",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5. ""I’ve never experienced such terrible customer service in my life!""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6. ""Reading that book was an enlightening experience; I learned so much.""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"7. ""His speech was dull and uninspiring, lacking any real substance.""",1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8. ""She was thrilled with her promotion and couldn't stop smiling.""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"9. ""The movie was okay, some parts were good while others were underwhelming.""",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"10. ""This restaurant exceeded all my expectations—absolutely phenomenal!""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"11. ""The new software update crashed my computer, an absolute nightmare.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12. ""Their strategy is risky but has the potential for great rewards.""",5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"13. ""The party was a disaster; nothing went according to plan.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14. ""Everyone appreciated his effort, and his dedication was clearly evident.""",5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4
"15. ""The article was well-written but didn't really offer new insights.""",3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"16. ""Receiving that award was the highlight of my career!""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"17. ""Their argument was full of holes and very unconvincing.""",1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18. ""I'm delighted with the new features in the app, it’s exactly what weneeded.""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"19. ""While the debate had strong points, some aspects were contentious.""",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
"20. ""Her kindness in helping me was deeply appreciated.""",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"21. ""The conference was a let-down, poorly organized and uninformative.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22. ""Loved how they decorated the venue; it looked magical.""",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"23. ""The package arrived late and damaged—extremely disappointed.""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24. ""Although sceptical at first, I found the product to be quite satisfactory.""",3,5,3,3,5,3,3,4,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3
"25. ""The team's spirit and effort throughout the season have been commendable.""",5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"1. ""We need to invest more in public education and create equitable opportunities for all students.""",1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1
"2. ""Government regulations are stifling small businesses and need to be reduced.""",4,4,5,5,5,5,4,5,5,4,4,4,4,1,5,4,4,5,5,4,4,5,4,4
